病診区分,"
医療機関コード",医療機関名,都道府県コード,郵便番号,住所,構想区域コード,構想区域名,市町村コード,市町村名称,高度急性期機能の有無,急性期機能の有無,回復期機能の有無,慢性期機能の有無,科目,２．許可病床数・稼働病床数,,,,,,,,,救急医療の実施状況,,,,,職員数,,,,,,,,,,,,,,,,,,６．入院患者数の状況【平成29年7月1日～平成30年6月30日の1年間】,８．全身管理の状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】,,,,,,,,９．疾患に応じたリハビリテーション・早期からのリハビリテーションの実施状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】,10．長期療養患者の受入状況【「平成30年６月診療分」であってかつ「平成30年７月審査分」】
病院,0101010043,市立函館南茅部病院,01,〒041－1612,北海道函館市安浦町９２番地,0101,南渡島,01202,北海道函館市,   ,〇,  ,〇,"内科,小児科,外科,整形外科",37,31,0,22,20,22,20,0,0,161,0,107,*,24,2,1,18,0,7,0,6,0,0,0,0,0,0,0,0,0,4,0,354,0,0,0,0,0,0,0,0,0,0
病院,0101010044,市立函館病院,01,〒041－8680,北海道函館市港町１丁目１０番１号,0101,南渡島,01202,北海道函館市,〇,〇,  ,  ,"内科,精神科,神経内科,呼吸器内科,消化器内科,小児科,外科,整形外科,形成外科,脳神経外科,心臓血管外科,皮膚科,泌尿器科,産婦人科,眼科,耳鼻咽喉科,放射線科,麻酔科,歯科,口腔外科,リウマチ科,呼吸器外科,リハビリテーション科,病理診断科,他",582,487,0,0,0,0,0,0,0,3176,1326,3043,1257,5671,115,0.3,558,1,19,0,54,0,20,0,12,0,8,0,30,0,76,0,15145,28,590,217,43,171,18,17,0,593,0
病院,0101010045,高橋病院,01,〒040－0054,北海道函館市元町３２番１８号,0101,南渡島,01202,北海道函館市,   ,〇,〇,〇,"内科,消化器内科,呼吸器内科,整形外科,リハビリテーション科,他",59,59,0,120,120,60,60,60,60,92,*,*,*,*,9,0.6,60,2.6,13,0,53,3.3,23,0,22,0,7,0,0,0,5,1.8,912,0,0,0,0,0,0,0,0,138,0
病院,0101010046,西堀病院,01,〒041－8555,北海道函館市中道２丁目６番１１号,0101,南渡島,01202,北海道函館市,   ,〇,〇,〇,"内科,消化器内科,循環器内科,肛門科,外科,整形外科,リハビリテーション科",108,108,0,60,60,60,60,0,0,156,*,20,*,14,8,1.43,87,2.7,21,0,29,1.2,26,0,21,0,11,0,0,0,11,0,833,0,10,0,0,0,23,0,0,164,0
病院,0101010047,函館渡辺病院,01,〒042－8678,北海道函館市湯川町１丁目３１番１号,0101,南渡島,01202,北海道函館市,   ,〇,  ,  ,"内科,精神科,呼吸器内科,消化器内科,外科,整形外科,皮膚科,リハビリテーション科,放射線科,麻酔科,肛門科,他",120,120,0,0,0,0,0,0,0,189,109,228,118,384,27,4.1,216,0.8,58,1.4,62,0.9,8,0,14,0,0,0,6,0,11,0,2371,0,58,10,0,20,0,0,0,65,0
病院,0101010048,社会福祉法人　函館病院,01,〒042－0935,北海道函館市駒場町４番６号,0101,南渡島,01202,北海道函館市,   ,〇,〇,〇,"内科,消化器内科,外科,整形外科,泌尿器科,麻酔科,歯科,口腔外科,リハビリテーション科,放射線科,皮膚科,耳鼻咽喉科,心療内科,他",146,146,0,140,140,140,140,0,0,55,24,246,116,274,12,3.2,129,10.9,18,3.1,29,13.5,26,0,6,0,2,0,5,0,5,3.6,1791,0,0,19,0,22,0,0,0,161,28
病院,0101010049,秋山記念病院,01,〒041－0802,北海道函館市石川町４１番地９,0101,南渡島,01202,北海道函館市,   ,〇,  ,  ,"産科,婦人科,麻酔科,外科",57,57,0,0,0,0,0,0,0,0,0,41,*,0,3,2.9,12,4.5,2,1,0,10.1,0,0,0,0,0,0,0,1.5,4,1.7,1547,0,16,0,0,0,0,0,0,0,0
病院,0101010050,松前町立松前病院,01,〒049－1593,北海道松前郡松前町字大磯１７４番地の１,0101,南渡島,01331,北海道松前町,   ,〇,  ,  ,"内科,小児科,外科,整形外科,眼科,耳鼻咽喉科,リハビリテーション科",100,100,0,0,0,0,0,0,0,781,98,1202,189,567,6,2.8,41,0.5,11,0.8,23,0,2,0,1,0,0,0,0,0,8,0.5,1027,0,29,31,0,0,0,0,0,55,0
病院,0101010051,森町国民健康保険病院,01,〒049－2311,北海道茅部郡森町字上台町３２６番地,0101,南渡島,01345,北海道森町,   ,〇,  ,  ,"内科,外科,整形外科,小児科,放射線科,泌尿器科,リハビリテーション科,眼科",60,59,0,0,0,0,0,0,0,662,54,485,85,577,6,1,26,0.5,5,0,4,0.5,3,0,0,0,0,0,0,0,7,0.5,609,0,12,13,0,0,0,0,0,11,0
病院,0101010058,道南勤医協函館稜北病院,01,〒041－0853,北海道函館市中道２丁目５１番１号,0101,南渡島,01202,北海道函館市,   ,〇,〇,  ,"整形外科,内科,消化器内科,呼吸器内科,リハビリテーション科,他",56,56,56,48,48,48,48,0,0,181,25,221,42,108,7,3.13,49,0.4,15,0.9,8,8,27,0,25,0,9,0,0,0,3,0.4,1035,0,14,19,0,0,0,0,0,122,0
病院,0101010059,独立行政法人国立病院機構　函館病院,01,〒041－8512,北海道2函館市川原町１８番１６号,0101,南渡島,01202,北海道函館市,〇,〇,〇,  ,"内科,神経内科,呼吸器内科,消化器内科,小児科,外科,整形外科,脳神経外科,呼吸器外科,心臓血管外科,小児外科,泌尿器科,産婦人科,眼科,リハビリテーション科,放射線科,麻酔科,精神科,皮膚科,口腔外科,他",300,300,250,0,0,0,0,0,0,469,396,617,518,898,27,0,238,8.74,0,0,0,27.8,9,0.59,1,0,0,0,14,0.59,27,6.76,7720,49,287,126,0,40,0,0,0,78,0
病院,0101010060,函館五稜郭病院,01,〒040－8611,北海道函館市五稜郭町３８番３号,0101,南渡島,01202,北海道函館市,〇,〇,  ,  ,"内科,消化器内科,呼吸器内科,小児科,外科,小児外科,整形外科,心臓血管外科,呼吸器外科,形成外科,皮膚科,泌尿器科,産婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,病理診断科,口腔外科,麻酔科,脳神経外科,救急科,他",480,480,0,0,0,0,0,0,0,1394,332,2393,766,3206,104,0.2,467,7.3,11,1.3,49,1.3,22,0,3,0,0,0,37,0,44,2.2,16552,278,617,246,171,262,16,75,0,304,0
病院,0101010061,函館市医師会病院,01,〒041－8522,北海道函館市富岡町２丁目１０番１０号,0101,南渡島,01202,北海道函館市,   ,〇,〇,〇,"内科,糖尿病内科,外科,呼吸器内科,消化器内科,脳神経内科,肛門科,放射線科,麻酔科,リハビリテーション科,整形外科,泌尿器科,他",240,240,0,0,0,0,0,0,0,275,151,376,261,671,19,0.93,152,5.4,20,0.4,29,0,16,0,5,0,3,0,6,0,21,4.6,3352,24,90,72,10,28,0,0,0,98,0
病院,0101010062,函館赤十字病院,01,〒040－8631,北海道函館市堀川町６番２１号,0101,南渡島,01202,北海道函館市,   ,〇,  ,  ,"内科,消化器内科,皮膚科,外科,放射線科,整形外科,リハビリテーション科,麻酔科,他",150,108,150,0,0,0,0,0,0,0,0,0,0,0,9,0.6,58,1.1,3,0,8,0,4,0,0,0,0,0,3,0,7,0.5,1361,11,13,15,0,0,0,0,0,46,0
病院,0101010063,函館中央病院,01,〒040－8585,北海道函館市本町３３番２号,0101,南渡島,01202,北海道函館市,〇,〇,  ,  ,"内科,糖尿病内科,消化器内科,消化器外科,神経内科,循環器内科,小児科,外科,乳腺科,肛門科,整形外科,形成外科,脳神経外科,心臓血管外科,皮膚科,泌尿器科,産婦人科,眼科,耳鼻咽喉科,精神科,リハビリテーション科,麻酔科,放射線科,病理診断科,口腔外科,他",527,527,0,0,0,0,0,0,0,1127,528,1864,988,2933,79,7.2,434,17.4,25,3.5,55,1.4,23,0,16,0,4,0,33,0,54,8.8,12871,28,241,111,87,127,0,0,0,330,0
病院,0101010066,木古内町国民健康保険病院,01,〒049－0422,北海道上磯郡木古内町字本町７１０番地,0101,南渡島,01334,北海道木古内町,   ,〇,  ,  ,"内科,消化器内科,呼吸器内科,小児科,外科,整形外科,肛門科,婦人科,皮膚科,耳鼻咽喉科,眼科,放射線科,泌尿器科,歯科,他",99,99,0,0,0,0,0,0,0,0,0,0,0,0,5,0.4,50,1.4,7,3.2,9,0,3,0,1,0,0,0,0,0,5,0,849,0,27,0,0,0,0,0,0,15,0
病院,0101010069,吉田眼科病院,01,〒041－0851,北海道函館市本通２丁目３１－８,0101,南渡島,01202,北海道函館市,   ,〇,  ,  ,眼科,40,40,0,0,0,0,0,0,0,128,0,67,*,0,4,2.6,17,1.6,11,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1148,0,46,0,0,0,0,0,0,0,0
病院,0101020001,佐々木病院,01,〒043－0041,北海道檜山郡江差町字姥神町３１番地,0102,南檜山,01361,北海道江差町,   ,  ,  ,〇,"内科,呼吸器内科,消化器内科,リハビリテーション科,アレルギー科,他",0,0,0,60,60,60,60,0,0,150,0,107,0,*,2,0,9,1.6,11,0,11,0,0,0,0,0,0,0,0,0,0,0.3,72,0,0,0,0,0,0,0,0,0,0
病院,0101020003,奥尻町国民健康保険病院,01,〒043－1401,北海道奥尻郡奥尻町字奥尻４６２番地,0102,南檜山,01367,北海道奥尻町,   ,〇,  ,〇,"内科,小児科,外科,整形外科,産婦人科,眼科,耳鼻咽喉科,歯科,リハビリテーション科,他",22,22,0,32,23,32,23,0,0,274,37,120,36,59,2,1.4,18,0,4,0.6,10,0,1,0,1,0,0,0,0,0,2,0,296,0,0,0,0,0,0,0,0,12,0
病院,0101020004,乙部町国民健康保険病院,01,〒043－0103,北海道爾志郡乙部町字緑町７０４番地の１,0102,南檜山,01364,北海道乙部町,   ,  ,  ,〇,"内科,小児科,外科",52,35,52,10,0,10,0,0,0,181,13,285,28,77,2,1.15,13,1.1,2,0,3,1.2,0,0,0,0,0,0,0,0,1,1.1,232,0,0,0,0,0,0,0,0,0,0
病院,0101020005,厚沢部町国民健康保険病院,01,〒043－1113,北海道檜山郡厚沢部町新町１４番地１,0102,南檜山,01363,北海道厚沢部町,   ,〇,  ,〇,"内科,外科,眼科",45,31,0,24,0,24,0,0,0,150,*,85,20,81,3,0.2,15,0,4,0,6,1.2,0,0,0,0,0,0,0,0,3,0,267,0,0,0,0,0,0,0,0,0,0
病院,0101020008,北海道立江差病院,01,〒043－0022,北海道檜山郡江差町字伏木戸町４８４番地,0102,南檜山,01361,北海道江差町,   ,〇,  ,  ,"内科,外科,産婦人科,小児科,整形外科,眼科,耳鼻咽喉科,皮膚科,泌尿器科,精神科,リハビリテーション科,麻酔科,消化器内科,呼吸器内科,放射線科,他",146,108,0,0,0,0,0,0,0,740,93,808,145,489,10,4.5,70,4.1,13,4.9,13,0.3,2,0,1,0,0,0,4,0,11,1.9,892,0,62,18,0,12,0,0,0,20,0
病院,0101030001,せたな町立国保病院,01,〒049－4501,北海道久遠郡せたな町北檜山区北檜山３７８番地,0103,北渡島檜山,01371,北海道せたな町,   ,〇,  ,  ,"内科,外科,整形外科,小児科,リハビリテーション科,婦人科,循環器内科",60,60,0,37,0,37,0,0,0,687,57,616,95,273,2,3.1,23,0.4,9,0.4,8,1.4,1,0,1,0,0,0,0,0,5,0.4,668,0,12,10,0,0,0,0,0,14,0
病院,0101030002,道南ロイヤル病院,01,〒049－4501,北海道久遠郡せたな町北檜山区北檜山３２２の４,0103,北渡島檜山,01371,北海道せたな町,   ,  ,  ,〇,"内科,消化器内科,外科,形成外科,他",54,54,0,120,120,120,120,0,0,113,*,23,0,11,4,3.1,50,2.1,11,0.5,54,0,12,0,7,0,3,0,0,0,5,0.8,244,11,0,0,0,0,0,25,0,287,0
病院,0101030004,今金町国保病院,01,〒049－4308,北海道瀬棚郡今金町字今金１７番地の２,0103,北渡島檜山,01370,北海道今金町,   ,〇,  ,  ,"内科,小児科,外科,整形外科,リハビリテーション科,婦人科,精神科,眼科",33,23,0,0,0,0,0,0,0,439,*,599,36,156,0,2.6,17,1,6,1.2,3,0,1,0,1,0,0,0,0,0,4,1,239,0,0,0,0,0,0,0,0,0,0
病院,0101030005,長万部町立病院,01,〒049－3521,北海道山越郡長万部町字長万部１８番地の４０,0103,北渡島檜山,01347,北海道長万部町,   ,〇,  ,  ,"内科,外科,小児科,眼科,整形外科",30,21,0,24,0,24,0,0,0,297,34,497,54,246,3,0.7,13,0.6,6,0.9,0,6,0,0,0,0,0,0,0,0,2,0.6,238,0,0,11,0,0,0,0,0,0,0
病院,0101030007,八雲総合病院,01,〒049－3197,北海道二海郡八雲町東雲町５０番地,0103,北渡島檜山,01346,北海道八雲町,   ,〇,〇,〇,"内科,循環器内科,リウマチ科,小児科,外科,産婦人科,眼科,耳鼻咽喉科,精神科,整形外科,脳神経外科,皮膚科,泌尿器科,麻酔科,放射線科,リハビリテーション科,心療内科,歯科",203,192,0,40,38,40,38,0,0,1037,103,1842,266,703,20,34,115,8.6,38,6.3,39,0,10,0,8,0,1,0,6,0,13,6.5,3440,0,90,42,0,10,0,0,0,145,31
病院,0101030008,八雲町熊石国民健康保険病院,01,〒043－0416,北海道二海郡八雲町熊石雲石町４９４番地１,0103,北渡島檜山,01346,北海道八雲町,   ,〇,  ,  ,"内科,外科,小児科,整形外科,婦人科,眼科",99,60,0,0,0,0,0,0,0,329,12,206,29,81,2,0.1,18,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,343,11,10,24,0,0,0,0,0,0,0
病院,0101040002,ＪＡ北海道厚生連札幌厚生病院,01,〒060－0033,北海道札幌市中央区北３条東８丁目５番地,0104,札幌,01101,北海道札幌市中央区,〇,〇,〇,〇,"内科,糖尿病内科,消化器内科,消化器外科,循環器内科,呼吸器内科,小児科,脳神経内科,外科,整形外科,心臓血管外科,産婦人科,皮膚科,泌尿器科,耳鼻咽喉科,眼科,放射線科,麻酔科,リハビリテーション科,精神科,病理診断科,リウマチ科,他",519,515,0,0,0,0,0,0,0,1142,197,3690,611,1307,126,24.4,431,28.7,2,0,62,1.3,10,0,3,0,1,0,27,0,34,8,12954,29,461,192,45,141,0,0,0,193,0
病院,0101040003,ＪＲ札幌病院,01,〒060－0033,北海道札幌市中央区北３条東１丁目１番地,0104,札幌,01101,北海道札幌市中央区,〇,〇,〇,  ,"内科,精神科,呼吸器内科,小児科,外科,整形外科,皮膚科,泌尿器科,肛門科,産婦人科,眼科,耳鼻咽喉科,放射線科,麻酔科,歯科,口腔外科,他",312,312,0,0,0,0,0,0,0,2571,255,420,195,1112,55,55,313,326.2,0,0,21,21,8,9,1,1,1,1,21,21,62,75.2,6018,24,240,147,0,68,0,10,0,140,0
病院,0101040004,ＫＫＲ札幌医療センター,01,〒062－0931,北海道札幌市豊平区平岸１条６丁目３番４０号,0104,札幌,01105,北海道札幌市豊平区,〇,〇,  ,〇,"内科,神経内科,呼吸器内科,消化器内科,小児科,外科,整形外科,皮膚科,泌尿器科,産婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,麻酔科,脳神経外科,心臓血管外科,精神科,呼吸器外科,小児外科,他",410,410,150,0,0,0,0,0,0,1335,537,2756,1249,3196,97,4.4,418,20.9,0,0,27,5,9,0,3,0,2,0,35,0,44,16.1,9528,14,368,214,45,107,0,0,0,215,0
病院,0101040005,国家公務員共済組合連合会　斗南病院,01,〒060－0004,北海道札幌市中央区北４条西７丁目３－８,0104,札幌,01101,北海道札幌市中央区,〇,  ,  ,  ,"消化器内科,消化器外科,糖尿病内科,内科,呼吸器内科,リウマチ科,循環器内科,呼吸器外科,乳腺科,心臓血管外科,整形外科,形成外科,皮膚科,泌尿器科,婦人科,婦人科,眼科,耳鼻咽喉科,麻酔科,放射線診断科,リハビリテーション科,病理診断科,精神科,他",283,283,0,0,0,0,0,0,0,342,117,1070,312,1231,88,7.3,280,29.4,0,6.9,0,2.8,6,0,0,0,0,0,24,0,15,21.9,9382,33,201,89,0,126,0,0,0,150,0
病院,0101040006,ＮＴＴ東日本札幌病院,01,〒060－0061,北海道札幌市中央区南１条西１５丁目２９０番地,0104,札幌,01101,北海道札幌市中央区,〇,〇,〇,  ,"リウマチ科,内科,消化器内科,呼吸器内科,人工透析,精神科,小児科,外科,心臓血管外科,整形外科,皮膚科,泌尿器科,産婦人科,眼科,耳鼻咽喉科,放射線科,病理診断科,麻酔科,他",301,301,301,0,0,0,0,0,0,440,84,2039,361,1245,92,2.7,303,8.3,0,0,33,0,15,0,0,0,0,0,25,0,39,6.2,10241,0,171,259,0,113,0,10,0,180,0
病院,0101040023,医療福祉センター札幌あゆみの園,01,〒003－0859,北海道札幌市白石区川北２２５４番地１,0104,札幌,01104,北海道札幌市白石区,   ,  ,  ,〇,"内科,小児科,精神科,麻酔科",94,94,0,92,92,92,92,0,0,0,0,0,0,0,7,1.2,83,3.1,12,0,91,1.6,7,0,7,0,2,0,0,0,2,0.4,70,60,0,161,0,0,1113,0,0,0,2607
病院,0101040024,札幌真駒内病院,01,〒005－0013,北海道札幌市南区真駒内緑町１丁目２番１号,0104,札幌,01106,北海道札幌市南区,   ,〇,  ,  ,"心臓血管外科,消化器外科,消化器内科,乳腺科,外科,肛門科,整形外科,泌尿器科,形成外科,リハビリテーション科,循環器内科,内科,麻酔科,他",80,80,0,0,0,0,0,0,0,208,75,196,85,548,14,1.7,56,10.2,10,0.3,5,0,6,0,0,0,0,0,6,0.5,8,5.3,1343,15,61,29,0,0,0,31,0,68,0
病院,0101040025,札幌円山整形外科病院,01,〒060－0007,北海道札幌市中央区北７条西２７丁目１番３号,0104,札幌,01101,北海道札幌市中央区,   ,〇,〇,  ,"整形外科,リハビリテーション科,リウマチ科,麻酔科",110,110,0,0,0,0,0,0,0,0,0,0,0,0,9,4,88,3.7,3,1,14,0,24,0,3,0,0,0,11,0,12,3.7,2588,0,0,0,0,91,0,0,0,193,0
病院,0101040026,札幌清田病院,01,〒004－0831,北海道札幌市清田区真栄１条１丁目１番１号,0104,札幌,01110,北海道札幌市清田区,   ,〇,  ,〇,"内科,外科,消化器内科,リウマチ科,呼吸器内科,肛門科,リハビリテーション科,麻酔科,他",109,109,0,0,0,0,0,0,0,411,46,246,72,248,16,0.84,97,3.5,5,0,30,1,2,0,1,0,0,0,5,0,19,2.1,2338,11,67,40,0,15,0,0,0,37,0
病院,0101040027,札幌麻生脳神経外科病院,01,〒065－0022,北海道札幌市東区北２２条東１丁目１番４０号,0104,札幌,01103,北海道札幌市東区,〇,〇,〇,  ,"脳神経外科,神経内科,放射線科,リハビリテーション科",145,145,0,0,0,0,0,0,0,453,159,924,389,1043,13,2,113,6.7,5,1,33,3.9,18,0,12,0,9,0,6,0,8,3,3376,0,122,23,17,38,0,0,0,201,0
病院,0101040028,新札幌整形外科病院,01,〒004－0022,北海道札幌市厚別区厚別南２丁目２番３２号,0104,札幌,01108,北海道札幌市厚別区,   ,〇,  ,  ,"整形外科,リハビリテーション科,放射線科,麻酔科,リウマチ科",88,88,0,0,0,0,0,0,0,0,0,0,0,73,5,3.85,58,4.9,3,0,8,3.9,6,0,0,0,0,0,7,0.6,6,2.5,1173,0,0,18,0,60,0,0,0,45,0
病院,0101040029,西さっぽろ病院,01,〒063－0003,北海道札幌市西区山の手３条２丁目５番１号,0104,札幌,01107,北海道札幌市西区,   ,〇,  ,  ,"整形外科,リハビリテーション科",56,56,56,0,0,0,0,0,0,1340,49,0,0,168,1,2.02,27,0.6,4,0.4,5,0,16,1,1,0,0,0,1,0,4,0,713,0,0,0,0,0,0,0,0,52,0
